ingredient_name,category_id,category_name,quantity_kg,shelf_life_days,calories_per_100,purchase_days_ago,days_until_expiry,storage_location,storage_temp_c,waste_quantity_kg,waste_ratio,risk_level,risk_code,consumption_frequency,user_is_vegetarian,waste_reason
Oriz,5,Drithëra,8.08,365,130,233,135,Kuzhinë,20.0,0.0,0,low,0,18,1,none
Mish pule,3,Mish,3.62,3,165,1,5,Raft,20.0,0.67,0.185,medium,1,1,1,spoiled
Bukë,5,Drithëra,5.07,3,265,3,5,Frigorifer,4.0,1.344,0.265,medium,1,19,1,overcooked
Karrota,1,Perime,5.84,30,41,30,-2,Ngrirës,-18.0,3.399,0.582,high,2,17,0,other
Qumësht,4,Bulmet,0.87,5,42,4,-1,Frigorifer,4.0,0.527,0.606,high,2,18,0,expired
Limon,2,Fruta,5.4,21,29,0,25,Kuzhinë,20.0,1.685,0.312,low,0,17,1,overcooked
Mish viçi,3,Mish,3.59,4,250,2,3,Raft,20.0,1.49,0.415,medium,1,10,0,expired
Oriz,5,Drithëra,4.78,365,130,86,276,Qilar,20.0,1.439,0.301,low,0,20,0,overcooked
Salmon,3,Mish,0.92,2,208,2,-2,Ngrirës,-18.0,0.618,0.672,high,2,20,0,overcooked
Majdanoz,6,Erëza,2.64,5,36,5,-2,Raft,20.0,1.328,0.503,high,2,6,0,other
Portokall,2,Fruta,8.1,14,47,4,10,Frigorifer,4.0,0.0,0,low,0,11,0,none
Spinaq,1,Perime,6.0,5,23,1,8,Kuzhinë,20.0,0.75,0.125,low,0,13,0,other
Tërshërë,5,Drithëra,6.41,180,389,53,129,Frigorifer,4.0,1.353,0.211,low,0,2,0,other
Mish pule,3,Mish,4.81,3,165,3,5,Ngrirës,-18.0,1.631,0.339,medium,1,13,1,other
Mollë,2,Fruta,1.54,21,52,13,5,Kuzhinë,20.0,0.362,0.235,medium,1,11,0,expired
Djathë,4,Bulmet,6.41,14,264,13,4,Raft,20.0,3.59,0.56,medium,1,9,0,overcooked
Mollë,2,Fruta,8.04,21,52,8,16,Ngrirës,-18.0,0.0,0,low,0,19,0,none
Qumësht,4,Bulmet,3.44,5,42,5,-1,Qilar,20.0,2.25,0.654,high,2,18,0,expired
Piper,6,Erëza,0.77,1000,251,421,577,Qilar,20.0,0.0,0,low,0,8,0,none
Mollë,2,Fruta,2.01,21,52,0,19,Frigorifer,4.0,0.129,0.064,low,0,20,0,expired
Bukë,5,Drithëra,9.58,3,265,0,2,Raft,20.0,4.014,0.419,high,2,6,0,spoiled
Mollë,2,Fruta,3.02,21,52,21,-2,Kuzhinë,20.0,2.353,0.779,high,2,9,1,overcooked
Mollë,2,Fruta,1.7,21,52,2,20,Qilar,20.0,0.212,0.125,low,0,2,0,overcooked
Kastravec,1,Perime,4.46,7,16,7,0,Raft,20.0,2.029,0.455,high,2,13,0,other
Karrota,1,Perime,1.52,30,41,24,9,Kuzhinë,20.0,0.217,0.143,low,0,9,0,expired
Patate,1,Perime,0.8,45,77,16,33,Frigorifer,4.0,0.249,0.311,low,0,16,0,expired
Qepë,1,Perime,6.68,30,40,8,21,Raft,20.0,0.0,0,low,0,1,1,none
Salmon,3,Mish,4.42,2,208,2,-2,Raft,20.0,1.286,0.291,high,2,8,0,other
Bukë,5,Drithëra,8.2,3,265,3,-2,Qilar,20.0,2.296,0.28,high,2,11,0,other
Qepë,1,Perime,6.36,30,40,30,-2,Qilar,20.0,2.9,0.456,high,2,18,0,expired
Piper,6,Erëza,4.65,1000,251,784,217,Frigorifer,4.0,0.205,0.044,low,0,13,0,none
Banane,2,Fruta,6.99,6,89,0,8,Kuzhinë,20.0,0.175,0.025,low,0,3,1,none
Tërshërë,5,Drithëra,1.98,180,389,9,171,Ngrirës,-18.0,1.182,0.597,low,0,16,1,expired
Kripë,6,Erëza,5.45,1000,0,315,689,Raft,20.0,0.981,0.18,low,0,15,0,expired
Limon,2,Fruta,0.65,21,29,1,23,Raft,20.0,0.195,0.3,low,0,15,0,spoiled
Patate,1,Perime,0.47,45,77,9,40,Frigorifer,4.0,0.133,0.284,low,0,16,0,spoiled
Bukë,5,Drithëra,6.52,3,265,0,2,Frigorifer,4.0,2.484,0.381,high,2,15,0,expired
Piper,6,Erëza,8.19,1000,251,116,888,Raft,20.0,0.0,0,low,0,20,0,none
Patate,1,Perime,8.06,45,77,27,20,Kuzhinë,20.0,2.104,0.261,low,0,11,0,spoiled
Limon,2,Fruta,8.38,21,29,6,12,Raft,20.0,0.0,0,low,0,6,0,none
Patate,1,Perime,1.3,45,77,9,39,Ngrirës,-18.0,0.222,0.171,low,0,15,0,expired
Spinaq,1,Perime,1.09,5,23,5,3,Ngrirës,-18.0,0.463,0.425,medium,1,1,1,expired
Domate,1,Perime,0.17,7,18,1,7,Kuzhinë,20.0,0.011,0.065,medium,1,5,0,spoiled
Oriz,5,Drithëra,2.78,365,130,230,138,Ngrirës,-18.0,0.659,0.237,low,0,6,0,spoiled
Bukë,5,Drithëra,5.05,3,265,0,4,Ngrirës,-18.0,1.475,0.292,medium,1,7,0,expired
Gjalpë,4,Bulmet,3.68,30,717,24,11,Raft,20.0,0.412,0.112,low,0,8,1,spoiled
Mollë,2,Fruta,0.63,21,52,3,17,Kuzhinë,20.0,0.0,0,low,0,16,0,none
Kastravec,1,Perime,6.73,7,16,0,4,Qilar,20.0,0.0,0,medium,1,10,0,none
Mish viçi,3,Mish,2.59,4,250,4,4,Raft,20.0,1.391,0.537,medium,1,6,0,expired
Salmon,3,Mish,5.2,2,208,0,2,Kuzhinë,20.0,3.463,0.666,high,2,19,0,other
Speca,1,Perime,7.5,10,31,5,5,Frigorifer,4.0,2.43,0.324,medium,1,8,1,spoiled
Mish pule,3,Mish,8.92,3,165,0,7,Raft,20.0,1.507,0.169,medium,1,16,0,other
Spinaq,1,Perime,2.24,5,23,4,5,Kuzhinë,20.0,0.813,0.363,medium,1,7,0,overcooked
Speca,1,Perime,3.43,10,31,0,7,Qilar,20.0,1.475,0.43,medium,1,5,0,other
Vezë,3,Mish,4.24,21,155,10,11,Raft,20.0,1.077,0.254,low,0,6,0,expired
Mish viçi,3,Mish,8.58,4,250,3,1,Raft,20.0,3.998,0.466,high,2,16,1,overcooked
Domate,1,Perime,7.33,7,18,3,4,Raft,20.0,1.525,0.208,medium,1,5,0,other
Qepë,1,Perime,0.5,30,40,15,20,Frigorifer,4.0,0.138,0.275,low,0,14,1,other
Kripë,6,Erëza,8.0,1000,0,841,157,Raft,20.0,0.0,0,low,0,1,1,none
Speca,1,Perime,1.41,10,31,4,6,Frigorifer,4.0,0.47,0.333,medium,1,1,1,overcooked
Kastravec,1,Perime,7.06,7,16,0,11,Kuzhinë,20.0,0.141,0.02,low,0,6,0,none
Oriz,5,Drithëra,4.7,365,130,324,38,Frigorifer,4.0,0.555,0.118,low,0,13,0,expired
Banane,2,Fruta,4.32,6,89,2,9,Frigorifer,4.0,0.039,0.009,low,0,20,0,none
Tërshërë,5,Drithëra,9.33,180,389,131,51,Frigorifer,4.0,0.494,0.053,low,0,4,1,overcooked
Vezë,3,Mish,6.23,21,155,11,12,Frigorifer,4.0,1.165,0.187,low,0,18,0,spoiled
Limon,2,Fruta,2.46,21,29,3,22,Raft,20.0,0.667,0.271,low,0,7,0,overcooked
Portokall,2,Fruta,8.99,14,47,8,9,Qilar,20.0,0.818,0.091,low,0,15,1,expired
Salmon,3,Mish,7.13,2,208,2,5,Qilar,20.0,2.517,0.353,medium,1,15,0,expired
Speca,1,Perime,8.93,10,31,7,1,Qilar,20.0,7.867,0.881,high,2,3,0,spoiled
Mollë,2,Fruta,1.21,21,52,4,21,Ngrirës,-18.0,0.309,0.255,low,0,7,0,overcooked
Mish viçi,3,Mish,9.7,4,250,4,-1,Frigorifer,4.0,4.326,0.446,high,2,10,0,expired
Domate,1,Perime,8.73,7,18,3,9,Qilar,20.0,1.1,0.126,low,0,14,0,overcooked
Salmon,3,Mish,5.97,2,208,2,5,Qilar,20.0,2.322,0.389,medium,1,19,0,overcooked
Kastravec,1,Perime,7.91,7,16,3,8,Qilar,20.0,0.0,0,low,0,10,0,none
Spinaq,1,Perime,3.6,5,23,3,1,Raft,20.0,1.926,0.535,high,2,10,0,spoiled
Piper,6,Erëza,7.11,1000,251,926,73,Ngrirës,-18.0,0.284,0.04,low,0,8,0,none
Qepë,1,Perime,9.94,30,40,18,11,Ngrirës,-18.0,0.0,0,low,0,18,0,none
Pasta,5,Drithëra,3.24,365,131,176,188,Qilar,20.0,0.492,0.152,low,0,15,0,overcooked
Karrota,1,Perime,9.21,30,41,12,22,Qilar,20.0,1.308,0.142,low,0,5,0,overcooked
Oriz,5,Drithëra,7.08,365,130,242,124,Raft,20.0,0.0,0,low,0,5,1,none
Limon,2,Fruta,6.92,21,29,15,3,Qilar,20.0,2.92,0.422,medium,1,1,1,spoiled
Vezë,3,Mish,3.64,21,155,10,8,Raft,20.0,0.895,0.246,low,0,7,0,overcooked
Speca,1,Perime,0.32,10,31,8,6,Raft,20.0,0.043,0.133,medium,1,13,0,other
Limon,2,Fruta,6.07,21,29,16,2,Qilar,20.0,1.59,0.262,high,2,13,0,other
Portokall,2,Fruta,3.92,14,47,0,15,Kuzhinë,20.0,0.11,0.028,low,0,18,0,none
Speca,1,Perime,7.31,10,31,7,6,Kuzhinë,20.0,2.975,0.407,medium,1,10,0,other
Tërshërë,5,Drithëra,8.97,180,389,35,143,Raft,20.0,1.606,0.179,low,0,11,0,other
Patate,1,Perime,0.17,45,77,40,6,Kuzhinë,20.0,0.068,0.4,medium,1,6,1,spoiled
Speca,1,Perime,1.94,10,31,6,5,Qilar,20.0,0.501,0.258,medium,1,19,0,other
Djathë,4,Bulmet,7.42,14,264,3,8,Frigorifer,4.0,0.631,0.085,low,0,5,0,overcooked
Oriz,5,Drithëra,8.36,365,130,241,122,Kuzhinë,20.0,0.0,0,low,0,6,1,none
Bukë,5,Drithëra,6.48,3,265,0,1,Qilar,20.0,2.197,0.339,high,2,16,0,overcooked
Kos,4,Bulmet,4.86,7,61,6,2,Frigorifer,4.0,2.343,0.482,high,2,12,0,overcooked
Kastravec,1,Perime,5.86,7,16,2,7,Kuzhinë,20.0,1.037,0.177,medium,1,5,0,spoiled
Qepë,1,Perime,2.8,30,40,13,19,Frigorifer,4.0,0.613,0.219,low,0,17,0,spoiled
Vaj ulliri,6,Erëza,1.04,365,884,85,285,Qilar,20.0,0.144,0.138,low,0,11,0,overcooked
Pasta,5,Drithëra,7.01,365,131,185,178,Ngrirës,-18.0,0.0,0,low,0,1,0,none
Qumësht,4,Bulmet,2.89,5,42,3,5,Qilar,20.0,0.78,0.27,medium,1,6,0,spoiled
Spinaq,1,Perime,5.08,5,23,1,9,Raft,20.0,0.0,0,low,0,18,0,none
Mish viçi,3,Mish,4.66,4,250,0,2,Ngrirës,-18.0,1.934,0.415,high,2,1,1,overcooked
Banane,2,Fruta,6.94,6,89,1,9,Qilar,20.0,1.777,0.256,low,0,6,0,expired
Tërshërë,5,Drithëra,8.16,180,389,56,123,Ngrirës,-18.0,0.0,0,low,0,8,0,none
Spinaq,1,Perime,2.18,5,23,0,8,Frigorifer,4.0,0.011,0.005,low,0,1,1,none
Vaj ulliri,6,Erëza,4.37,365,884,100,263,Frigorifer,4.0,0.0,0,low,0,17,0,none
Salmon,3,Mish,1.28,2,208,1,-2,Frigorifer,4.0,1.029,0.804,high,2,4,0,spoiled
Kastravec,1,Perime,6.74,7,16,0,5,Ngrirës,-18.0,2.629,0.39,medium,1,9,0,overcooked
Kastravec,1,Perime,8.57,7,16,3,9,Raft,20.0,0.326,0.038,low,0,1,0,none
Bukë,5,Drithëra,2.0,3,265,2,0,Raft,20.0,1.142,0.571,high,2,1,0,spoiled
Qumësht,4,Bulmet,8.53,5,42,3,4,Frigorifer,4.0,2.295,0.269,medium,1,6,0,other
Mish viçi,3,Mish,2.22,4,250,1,6,Frigorifer,4.0,0.464,0.209,medium,1,11,0,other
Karrota,1,Perime,5.25,30,41,15,17,Frigorifer,4.0,0.241,0.046,low,0,3,0,none
Salmon,3,Mish,1.25,2,208,1,5,Raft,20.0,0.145,0.116,medium,1,10,1,spoiled
Djathë,4,Bulmet,4.13,14,264,13,4,Kuzhinë,20.0,1.326,0.321,medium,1,12,0,expired
Pasta,5,Drithëra,4.97,365,131,53,315,Kuzhinë,20.0,0.76,0.153,low,0,17,0,expired
Spinaq,1,Perime,4.01,5,23,5,-2,Ngrirës,-18.0,2.338,0.583,high,2,3,0,spoiled
Limon,2,Fruta,2.08,21,29,12,7,Ngrirës,-18.0,0.0,0,medium,1,14,1,none
Mollë,2,Fruta,7.67,21,52,18,4,Kuzhinë,20.0,2.385,0.311,medium,1,12,1,other
Salmon,3,Mish,5.16,2,208,0,6,Frigorifer,4.0,0.16,0.031,medium,1,4,0,none
Salmon,3,Mish,5.02,2,208,2,-1,Frigorifer,4.0,4.222,0.841,high,2,16,0,spoiled
Mish pule,3,Mish,6.09,3,165,2,0,Qilar,20.0,3.934,0.646,high,2,20,0,expired
Pasta,5,Drithëra,7.54,365,131,252,117,Kuzhinë,20.0,1.252,0.166,low,0,17,0,overcooked
Kripë,6,Erëza,8.61,1000,0,559,438,Frigorifer,4.0,2.678,0.311,low,0,14,0,other
Vezë,3,Mish,3.21,21,155,12,13,Raft,20.0,0.199,0.062,low,0,10,0,other
Mish viçi,3,Mish,1.43,4,250,3,5,Frigorifer,4.0,0.443,0.31,medium,1,19,1,other
Salmon,3,Mish,5.67,2,208,0,7,Raft,20.0,2.325,0.41,medium,1,13,0,overcooked
Limon,2,Fruta,0.71,21,29,18,0,Ngrirës,-18.0,0.454,0.64,high,2,12,0,expired
Vaj ulliri,6,Erëza,8.92,365,884,174,194,Qilar,20.0,1.9,0.213,low,0,14,0,expired
Pasta,5,Drithëra,2.52,365,131,120,246,Raft,20.0,0.451,0.179,low,0,3,0,overcooked
Karrota,1,Perime,3.44,30,41,0,35,Kuzhinë,20.0,0.079,0.023,low,0,19,1,none
Mollë,2,Fruta,0.3,21,52,15,3,Qilar,20.0,0.134,0.448,medium,1,13,1,overcooked
Kos,4,Bulmet,1.07,7,61,7,-2,Kuzhinë,20.0,0.602,0.563,high,2,17,0,spoiled
Gjalpë,4,Bulmet,3.07,30,717,13,17,Kuzhinë,20.0,0.015,0.005,low,0,3,0,none
Banane,2,Fruta,2.73,6,89,2,7,Frigorifer,4.0,1.013,0.371,medium,1,19,0,overcooked
Mollë,2,Fruta,0.77,21,52,16,9,Kuzhinë,20.0,0.0,0,low,0,7,0,none
Kripë,6,Erëza,0.86,1000,0,843,158,Raft,20.0,0.0,0,low,0,11,0,none
Mish viçi,3,Mish,4.08,4,250,4,5,Kuzhinë,20.0,1.208,0.296,medium,1,18,0,expired
Oriz,5,Drithëra,7.06,365,130,95,274,Kuzhinë,20.0,1.334,0.189,low,0,9,1,expired
Qumësht,4,Bulmet,2.09,5,42,3,1,Ngrirës,-18.0,2.034,0.973,high,2,5,0,other
Mish viçi,3,Mish,3.25,4,250,0,4,Qilar,20.0,1.193,0.367,medium,1,6,0,spoiled
Mish pule,3,Mish,2.46,3,165,1,2,Frigorifer,4.0,1.237,0.503,high,2,8,0,other
Salmon,3,Mish,5.64,2,208,1,4,Ngrirës,-18.0,1.551,0.275,medium,1,9,0,expired
Mollë,2,Fruta,7.92,21,52,8,18,Ngrirës,-18.0,0.531,0.067,low,0,2,1,expired
Qepë,1,Perime,8.61,30,40,2,30,Kuzhinë,20.0,0.0,0,low,0,12,0,none
Mish pule,3,Mish,9.44,3,165,1,2,Frigorifer,4.0,3.965,0.42,high,2,19,0,overcooked
Salmon,3,Mish,8.86,2,208,0,0,Raft,20.0,5.484,0.619,high,2,13,0,other
Speca,1,Perime,1.53,10,31,2,8,Qilar,20.0,0.0,0,low,0,15,1,none
Mollë,2,Fruta,8.64,21,52,1,24,Frigorifer,4.0,0.0,0,low,0,11,1,none
Salmon,3,Mish,6.86,2,208,1,0,Qilar,20.0,3.78,0.551,high,2,16,0,overcooked
Domate,1,Perime,6.49,7,18,0,4,Ngrirës,-18.0,1.324,0.204,medium,1,9,1,overcooked
Oriz,5,Drithëra,9.59,365,130,185,178,Raft,20.0,0.0,0,low,0,8,1,none
Mish pule,3,Mish,0.18,3,165,3,1,Ngrirës,-18.0,0.088,0.489,high,2,10,0,spoiled
Vezë,3,Mish,6.35,21,155,20,4,Frigorifer,4.0,4.026,0.634,medium,1,9,0,other
Salmon,3,Mish,7.4,2,208,1,4,Ngrirës,-18.0,3.693,0.499,medium,1,9,0,overcooked
Mish viçi,3,Mish,6.06,4,250,4,2,Kuzhinë,20.0,2.46,0.406,high,2,1,0,spoiled
Oriz,5,Drithëra,4.49,365,130,328,36,Qilar,20.0,0.898,0.2,low,0,11,0,expired
Kastravec,1,Perime,2.57,7,16,2,8,Qilar,20.0,0.262,0.102,low,0,15,1,spoiled
Mollë,2,Fruta,1.82,21,52,18,5,Kuzhinë,20.0,0.602,0.331,medium,1,12,0,other
Mish pule,3,Mish,9.45,3,165,1,-1,Frigorifer,4.0,4.772,0.505,high,2,18,0,expired
Vezë,3,Mish,2.06,21,155,5,13,Qilar,20.0,0.0,0,low,0,5,0,none
Portokall,2,Fruta,1.78,14,47,9,3,Frigorifer,4.0,0.698,0.392,medium,1,17,1,other
Piper,6,Erëza,6.77,1000,251,121,879,Qilar,20.0,0.528,0.078,low,0,10,1,other
Spinaq,1,Perime,4.37,5,23,1,4,Qilar,20.0,0.896,0.205,medium,1,7,1,spoiled
Mish viçi,3,Mish,7.95,4,250,0,5,Kuzhinë,20.0,3.252,0.409,medium,1,8,0,other
Patate,1,Perime,0.2,45,77,8,39,Kuzhinë,20.0,0.017,0.084,low,0,7,1,other
Tërshërë,5,Drithëra,6.01,180,389,18,160,Ngrirës,-18.0,0.325,0.054,low,0,16,0,expired
Domate,1,Perime,2.61,7,18,6,2,Kuzhinë,20.0,1.522,0.583,high,2,12,0,expired
Kos,4,Bulmet,1.88,7,61,2,10,Kuzhinë,20.0,0.0,0,low,0,5,0,none
Limon,2,Fruta,7.13,21,29,13,7,Qilar,20.0,2.182,0.306,medium,1,4,0,expired
Spinaq,1,Perime,5.04,5,23,2,5,Qilar,20.0,2.061,0.409,medium,1,20,0,overcooked
Mish viçi,3,Mish,8.94,4,250,2,6,Ngrirës,-18.0,2.19,0.245,medium,1,18,1,expired
Speca,1,Perime,1.57,10,31,3,6,Kuzhinë,20.0,0.65,0.414,medium,1,14,0,other
Qepë,1,Perime,4.47,30,40,22,13,Kuzhinë,20.0,0.563,0.126,low,0,15,1,expired
Majdanoz,6,Erëza,7.23,5,36,1,2,Qilar,20.0,3.911,0.541,high,2,6,0,overcooked
Kos,4,Bulmet,8.92,7,61,3,1,Raft,20.0,6.083,0.682,high,2,19,0,other
Patate,1,Perime,2.54,45,77,31,12,Frigorifer,4.0,0.32,0.126,low,0,13,0,expired
Piper,6,Erëza,3.3,1000,251,29,969,Kuzhinë,20.0,0.257,0.078,low,0,16,1,overcooked
Gjalpë,4,Bulmet,6.61,30,717,10,17,Qilar,20.0,0.0,0,low,0,19,0,none
Speca,1,Perime,8.65,10,31,10,1,Qilar,20.0,2.543,0.294,high,2,2,0,other
Patate,1,Perime,4.05,45,77,11,34,Frigorifer,4.0,1.592,0.393,low,0,1,0,spoiled
Mish pule,3,Mish,7.82,3,165,2,0,Frigorifer,4.0,4.184,0.535,high,2,10,1,other
Tërshërë,5,Drithëra,8.08,180,389,79,100,Qilar,20.0,0.461,0.057,low,0,17,0,other
Vezë,3,Mish,8.87,21,155,15,7,Raft,20.0,3.122,0.352,medium,1,20,1,expired
Vaj ulliri,6,Erëza,4.28,365,884,188,176,Frigorifer,4.0,0.0,0,low,0,17,0,none
Vezë,3,Mish,6.8,21,155,20,0,Kuzhinë,20.0,4.515,0.664,high,2,17,0,overcooked
Vezë,3,Mish,4.43,21,155,15,7,Qilar,20.0,1.537,0.347,medium,1,8,1,overcooked
Kos,4,Bulmet,0.57,7,61,1,3,Raft,20.0,0.207,0.363,medium,1,4,1,other
Karrota,1,Perime,4.7,30,41,23,8,Raft,20.0,0.0,0,low,0,1,0,none
Tërshërë,5,Drithëra,6.65,180,389,45,134,Kuzhinë,20.0,1.709,0.257,low,0,2,0,other
Bukë,5,Drithëra,3.05,3,265,3,4,Ngrirës,-18.0,0.659,0.216,medium,1,7,0,expired
Tërshërë,5,Drithëra,9.82,180,389,66,112,Kuzhinë,20.0,0.167,0.017,low,0,18,0,none
Domate,1,Perime,4.01,7,18,0,6,Kuzhinë,20.0,0.83,0.207,medium,1,20,1,overcooked
Gjalpë,4,Bulmet,8.15,30,717,19,13,Kuzhinë,20.0,0.0,0,low,0,10,0,none
Spinaq,1,Perime,1.44,5,23,1,2,Ngrirës,-18.0,0.998,0.693,high,2,1,0,other
Oriz,5,Drithëra,1.54,365,130,123,245,Raft,20.0,0.0,0,low,0,7,0,none
Banane,2,Fruta,7.72,6,89,1,9,Ngrirës,-18.0,0.262,0.034,low,0,15,1,none
Salmon,3,Mish,0.29,2,208,1,1,Ngrirës,-18.0,0.184,0.635,high,2,10,1,expired
Limon,2,Fruta,0.18,21,29,20,4,Raft,20.0,0.106,0.589,medium,1,20,0,expired
Salmon,3,Mish,4.06,2,208,2,4,Ngrirës,-18.0,1.068,0.263,medium,1,2,0,other
Kos,4,Bulmet,3.23,7,61,1,7,Kuzhinë,20.0,1.363,0.422,medium,1,4,1,overcooked
Vezë,3,Mish,7.01,21,155,0,20,Qilar,20.0,0.021,0.003,low,0,7,1,none
Portokall,2,Fruta,4.44,14,47,8,6,Raft,20.0,0.471,0.106,medium,1,15,0,overcooked
Tërshërë,5,Drithëra,7.14,180,389,106,76,Kuzhinë,20.0,0.0,0,low,0,6,0,none
Banane,2,Fruta,6.94,6,89,0,10,Raft,20.0,1.173,0.169,low,0,16,0,other
Salmon,3,Mish,3.11,2,208,0,7,Frigorifer,4.0,1.16,0.373,medium,1,1,0,overcooked
Portokall,2,Fruta,6.8,14,47,2,17,Kuzhinë,20.0,1.04,0.153,low,0,4,0,expired
Djathë,4,Bulmet,2.32,14,264,4,12,Qilar,20.0,0.258,0.111,low,0,2,0,spoiled
Majdanoz,6,Erëza,6.93,5,36,4,-1,Kuzhinë,20.0,3.514,0.507,high,2,15,0,expired
Kripë,6,Erëza,6.14,1000,0,800,198,Raft,20.0,0.0,0,low,0,2,0,none
Kastravec,1,Perime,6.34,7,16,3,6,Kuzhinë,20.0,2.339,0.369,medium,1,17,1,expired
Spinaq,1,Perime,6.51,5,23,2,2,Frigorifer,4.0,4.583,0.704,high,2,7,1,other
Vaj ulliri,6,Erëza,7.71,365,884,125,244,Frigorifer,4.0,0.023,0.003,low,0,9,0,none
Bukë,5,Drithëra,7.57,3,265,2,1,Ngrirës,-18.0,5.67,0.749,high,2,17,1,spoiled
Spinaq,1,Perime,8.04,5,23,3,5,Raft,20.0,4.792,0.596,medium,1,12,0,other
Spinaq,1,Perime,7.72,5,23,5,5,Frigorifer,4.0,0.61,0.079,medium,1,3,0,overcooked
Mish pule,3,Mish,9.82,3,165,1,5,Ngrirës,-18.0,5.244,0.534,medium,1,19,0,overcooked
Mish viçi,3,Mish,4.08,4,250,4,1,Qilar,20.0,2.836,0.695,high,2,12,0,overcooked
Qumësht,4,Bulmet,6.14,5,42,1,7,Raft,20.0,1.253,0.204,medium,1,20,1,overcooked
Kripë,6,Erëza,7.84,1000,0,414,586,Qilar,20.0,1.051,0.134,low,0,3,0,overcooked
Mish pule,3,Mish,7.28,3,165,1,7,Frigorifer,4.0,3.072,0.422,medium,1,17,0,overcooked
Vaj ulliri,6,Erëza,6.39,365,884,11,351,Raft,20.0,0.601,0.094,low,0,19,0,spoiled
Piper,6,Erëza,7.76,1000,251,743,260,Frigorifer,4.0,1.335,0.172,low,0,12,0,overcooked
Karrota,1,Perime,0.57,30,41,20,8,Kuzhinë,20.0,0.054,0.094,low,0,10,0,other
Limon,2,Fruta,9.83,21,29,18,8,Qilar,20.0,1.583,0.161,low,0,10,0,other
Qumësht,4,Bulmet,7.4,5,42,0,7,Raft,20.0,1.547,0.209,medium,1,19,0,overcooked
Vezë,3,Mish,1.07,21,155,13,11,Ngrirës,-18.0,0.157,0.147,low,0,16,0,other
Patate,1,Perime,3.76,45,77,33,15,Raft,20.0,0.474,0.126,low,0,18,1,overcooked
Kos,4,Bulmet,5.04,7,61,6,5,Kuzhinë,20.0,0.827,0.164,medium,1,6,0,spoiled
Salmon,3,Mish,7.14,2,208,0,7,Raft,20.0,0.0,0,medium,1,4,0,none
Vezë,3,Mish,4.79,21,155,5,21,Raft,20.0,0.0,0,low,0,14,0,none
Karrota,1,Perime,3.76,30,41,9,18,Raft,20.0,1.391,0.37,low,0,5,0,overcooked
Banane,2,Fruta,9.91,6,89,2,5,Ngrirës,-18.0,0.357,0.036,medium,1,19,1,none
Qepë,1,Perime,9.37,30,40,9,22,Ngrirës,-18.0,1.153,0.123,low,0,6,1,expired
Karrota,1,Perime,5.52,30,41,2,25,Raft,20.0,0.0,0,low,0,15,0,none
Kripë,6,Erëza,3.84,1000,0,854,145,Ngrirës,-18.0,0.756,0.197,low,0,17,1,other
Pasta,5,Drithëra,4.55,365,131,166,197,Kuzhinë,20.0,0.764,0.168,low,0,13,0,other
Limon,2,Fruta,5.46,21,29,21,4,Qilar,20.0,0.486,0.089,medium,1,3,0,expired
Kos,4,Bulmet,6.34,7,61,4,8,Frigorifer,4.0,0.0,0,low,0,7,0,none
Kos,4,Bulmet,5.27,7,61,7,5,Frigorifer,4.0,0.685,0.13,medium,1,4,0,expired
Mollë,2,Fruta,7.89,21,52,7,18,Qilar,20.0,2.051,0.26,low,0,13,0,other
Majdanoz,6,Erëza,9.35,5,36,2,6,Ngrirës,-18.0,3.684,0.394,medium,1,14,0,overcooked
Mish pule,3,Mish,2.65,3,165,0,1,Ngrirës,-18.0,1.275,0.481,high,2,9,0,spoiled
Banane,2,Fruta,9.53,6,89,5,0,Frigorifer,4.0,5.413,0.568,high,2,20,0,spoiled
Domate,1,Perime,7.16,7,18,4,6,Qilar,20.0,2.635,0.368,medium,1,9,1,expired
Qepë,1,Perime,2.11,30,40,24,6,Kuzhinë,20.0,0.734,0.348,medium,1,17,1,expired
Mollë,2,Fruta,0.7,21,52,14,12,Kuzhinë,20.0,0.0,0,low,0,8,0,none
Mollë,2,Fruta,5.59,21,52,18,1,Ngrirës,-18.0,3.885,0.695,high,2,18,0,overcooked
Kos,4,Bulmet,4.13,7,61,1,11,Qilar,20.0,0.88,0.213,low,0,18,0,spoiled
Djathë,4,Bulmet,9.53,14,264,14,5,Kuzhinë,20.0,6.452,0.677,medium,1,2,0,other
Piper,6,Erëza,6.25,1000,251,668,331,Kuzhinë,20.0,2.806,0.449,low,0,9,0,other
Portokall,2,Fruta,8.44,14,47,3,16,Qilar,20.0,0.852,0.101,low,0,2,0,expired
Banane,2,Fruta,0.99,6,89,5,-1,Qilar,20.0,0.71,0.717,high,2,14,0,overcooked
Pasta,5,Drithëra,9.46,365,131,325,41,Kuzhinë,20.0,0.0,0,low,0,9,0,none
Pasta,5,Drithëra,9.83,365,131,174,191,Frigorifer,4.0,0.0,0,low,0,5,0,none
Gjalpë,4,Bulmet,4.82,30,717,28,-1,Ngrirës,-18.0,3.138,0.651,high,2,14,1,other
Djathë,4,Bulmet,0.9,14,264,14,-2,Kuzhinë,20.0,0.263,0.292,high,2,4,0,other
Piper,6,Erëza,6.05,1000,251,396,603,Frigorifer,4.0,0.145,0.024,low,0,4,1,none
Portokall,2,Fruta,9.37,14,47,7,4,Qilar,20.0,2.858,0.305,medium,1,12,0,expired
Piper,6,Erëza,6.17,1000,251,310,690,Ngrirës,-18.0,0.802,0.13,low,0,16,0,expired
